SITE,HOLE,CORE,CORE_TYPE,SECTION,TOP_DEPTH,BOTTOM_DEPTH,Max (Diameter) (µm),Elongation,Age (Ma),Min (Diameter) (µm),Shape Factor,Sphericity
925,C,1,H,2,53,55,574.3901625,1.447255507,0.047300885,119.3495543,0.782370126,0.663026302
925,C,1,H,2,69,71,621.924639,1.429319446,0.050982301,159.7609326,0.810315883,0.685280261
925,C,1,H,2,83,85,507.3504224,1.416386672,0.05420354,132.598359,0.753007759,0.66542195
925,C,1,H,2,98,100,547.3989961,1.463342887,0.057654867,125.8372192,0.793828734,0.651806203
925,C,1,H,2,110,112,511.8992955,1.423005933,0.060415929,134.0687644,0.786113591,0.699934051
925,C,1,H,2,129,130,463.6303503,1.486154161,0.064787611,132.7801048,0.796263111,0.687151416
925,C,1,H,2,143,145,549.6407514,1.465310642,0.06800885,130.3059965,0.792615212,0.661620991
925,C,1,H,3,5,7,534.1465909,1.467161502,0.070769912,120.4714329,0.788944657,0.658754259
925,C,1,H,3,23,25,516.8312144,1.454670814,0.077859649,119.978337,0.771336237,0.651404721
925,C,1,H,3,38,40,548.1152809,1.442280632,0.083912281,123.8215576,0.795617267,0.669789164
925,C,1,H,3,54,56,541.9141933,1.452233753,0.090368421,123.6862371,0.779702041,0.668697715
925,C,1,H,3,68,69,629.0015468,1.43877125,0.09525,147.0404681,0.775498808,0.657448733
925,C,1,H,3,79,81,606.0870121,1.429725024,0.098,150.40387,0.796507206,0.655054113
925,C,1,H,3,93,95,545.6739125,1.431251827,0.1015,140.3989723,0.76633484,0.654752051
925,C,1,H,3,105,107,517.4009257,1.423196693,0.1045,130.4243894,0.787985275,0.665063317
925,C,1,H,3,119,120,648.5342962,1.414270041,0.108333333,160.3391767,0.799498246,0.670207703
925,C,1,H,3,125,127,650.7402206,1.447830896,0.11,143.1179751,0.791349441,0.652811481
925,C,1,H,3,133,135,575.5579623,1.436743834,0.112222222,138.607488,0.776019986,0.671571786
925,C,1,H,3,143,145,569.3706632,1.457896634,0.115,132.9643502,0.775076883,0.660976425
925,C,1,H,4,2,4,592.8072458,1.446702718,0.117842105,134.0871905,0.767130752,0.653055648
925,C,1,H,4,23,25,598.6783238,1.428517996,0.124473684,124.6902932,0.772581096,0.655971398
925,C,1,H,4,29,31,609.2931673,1.397708078,0.126368421,154.2445104,1.223419277,1.087413149
925,C,2,H,1,98,100,602.0844838,1.421736393,0.25155,148.3701989,0.777806824,0.661338431
925,C,2,H,1,114,116,585.9576137,1.407606224,0.255258621,154.0531708,0.819192623,0.681370527
925,C,2,H,1,128,130,523.6772571,1.42986999,0.258517241,125.0547861,0.773328541,0.66228242
925,C,2,H,1,133,135,511.4414756,1.412751584,0.259681034,116.8873957,0.772054881,0.66115482
925,C,2,H,2,4,6,557.1078007,1.411284178,0.264568966,138.5681085,0.75927701,0.656619866
925,C,2,H,2,18,20,490.9046153,1.435459892,0.267827586,116.4222962,0.785712647,0.667038777
925,C,2,H,2,34,36,548.4730444,1.442823244,0.271551724,145.2491597,0.797754257,0.700183105
925,C,2,H,2,47,49,568.6161863,1.448100272,0.274577586,123.327319,0.783823956,0.669766073
925,C,2,H,2,63,64,504.9483908,1.49119873,0.278301724,123.4589284,0.803333237,0.693766907
925,C,2,H,2,75,77,600.2093559,1.4203269,0.281226804,142.8334979,0.786556364,0.666694601
925,C,2,H,2,93,95,526.1035571,1.424728593,0.285680412,130.0445803,0.769023139,0.658632545
925,C,2,H,2,109,110,535.8277335,1.414869166,0.289639175,129.6467784,0.779718544,0.662879742
925,C,2,H,2,123,125,586.2449711,1.424032559,0.293103093,160.4260151,0.811622418,0.688341807
925,C,2,H,2,134,136,612.7174176,1.448373168,0.295824742,156.4935735,0.81786532,0.681935808
925,C,2,H,2,142,144,595.5198382,1.423316054,0.297804124,153.2973933,0.793513539,0.701414669
925,C,2,H,3,13,15,643.8069657,1.437338895,0.303,159.3475021,0.812445967,0.684242755
925,C,2,H,3,38,40,533.5392472,1.413509802,0.310142857,128.8442263,0.782083392,0.684200116
925,C,2,H,3,52,54,550.975011,1.406014765,0.314142857,136.0332399,0.781091145,0.683702846
925,C,2,H,3,72,74,590.1619794,1.437068893,0.319857143,167.0142055,0.822877558,0.675850747
925,C,2,H,3,84,86,523.5947313,1.444570488,0.323289474,124.7941726,0.792215971,0.674011325
925,C,2,H,3,97,99,610.8104116,1.442939795,0.327052632,155.4521109,0.809602546,0.675378844
925,C,2,H,3,108,110,718.4372669,1.431197435,0.330236842,158.9412455,0.809103762,0.663838224
925,C,2,H,3,118,120,598.9752466,1.43545028,0.333131579,142.561472,0.774417108,0.656331298
925,C,2,H,3,128,130,546.1895691,1.417165113,0.335555556,142.8218366,0.771938228,0.662997661
925,C,2,H,3,133,135,558.6789389,1.436077647,0.336666667,143.1820828,0.774024983,0.656944097
925,C,2,H,3,137,139,600.0035821,1.437216618,0.337555556,142.6517878,0.779280931,0.668788323
925,C,2,H,3,148,149,551.9084512,1.447487667,0.34,156.8941316,0.82650905,0.697748012
925,C,2,H,4,3,5,536.9163278,1.453138656,0.341111111,155.8837624,0.812524092,0.6965878
925,C,2,H,4,6,8,512.3995912,1.444764302,0.341777778,126.2455715,0.783730631,0.701215631
925,C,2,H,4,8,10,531.094341,1.456216027,0.342222222,130.730198,0.803071769,0.694290515
925,C,2,H,4,16,18,540.8589074,1.452953701,0.344,152.2311664,0.80957998,0.691063475
925,C,2,H,4,18,20,520.1693293,1.443248652,0.344444444,139.9324536,0.781020998,0.677803967
925,C,2,H,4,23,25,489.6878008,1.473079384,0.345555556,133.1019631,0.801587063,0.678155216
925,C,2,H,4,28,30,524.8201642,1.418809374,0.346725581,129.9408316,0.77651369,0.660297546
925,C,2,H,4,33,35,553.0604748,1.435565602,0.347934884,124.6171787,0.797197882,0.665998031
925,C,2,H,4,66,68,558.9878487,1.435721762,0.355916279,131.9868125,0.768567992,0.663413414
925,C,2,H,4,128,130,521.9404474,1.419977018,0.370911628,137.4097488,0.794231041,0.686226462
925,C,2,H,5,38,40,563.1792068,1.396014853,0.385423256,158.615132,1.245533951,1.118046469
925,C,2,H,5,93,95,544.9289597,1.41867793,0.398891892,130.6209527,1.214556505,1.101471425
925,C,2,H,5,106,108,511.6559083,1.42418758,0.402756757,141.7444976,0.785392386,0.687976588
925,C,2,H,5,115,116,559.3942651,1.448041015,0.405432432,163.1743388,0.807726542,0.69247926
925,C,2,H,5,125,126,574.8305905,1.455388352,0.408405405,149.100552,0.799391023,0.663786748
925,C,2,H,5,136,138,589.7994108,1.42000257,0.410285714,155.1627994,0.818843607,0.68060416
925,C,2,H,6,3,4,562.266158,1.384228225,0.412714286,148.9279355,1.476150562,1.359438304
925,C,2,H,6,15,17,601.8682575,1.412809787,0.414428571,162.5648627,0.816338785,0.680564755
925,C,2,H,6,35,36,584.0887199,1.452952982,0.417285714,139.7018119,0.803922242,0.672293222
925,C,2,H,6,43,44,599.5804822,1.446395498,0.418428571,156.065078,0.793966767,0.684557751
925,C,2,H,6,75,76,548.1970514,1.429531182,0.422417266,141.7072334,0.786899472,0.676660797
925,C,2,H,6,83,84,597.3730105,1.421556627,0.423338129,141.7791267,0.81292684,0.691357999
925,C,2,H,6,93,94,527.2648473,1.425292822,0.424489209,137.4789303,0.788589107,0.684271456
925,C,2,H,6,105,106,572.7536524,1.403002184,0.425870504,146.3049177,0.781390689,0.680389783
925,C,2,H,6,113,114,589.4163156,1.416858213,0.426791367,141.2544711,0.781810647,0.67314421
925,C,2,H,6,125,126,553.5786471,1.424619586,0.428172662,137.6593216,0.804015053,0.667176871
925,C,2,H,6,137,138,421.767251,1.433500151,0.429553957,125.6500807,0.811132806,0.679370053
925,C,2,H,7,7,8,473.6493592,1.411141818,0.431856115,158.4691555,0.810938348,0.717069114
925,C,3,H,3,37,38,512.821067,1.429203502,0.527842105,140.5075593,0.798110238,0.667092462
925,C,3,H,3,54,55,525.193168,1.435536441,0.532315789,125.9995885,0.778961833,0.663664543
925,C,3,H,3,74,75,482.5712834,1.354886935,0.537578947,138.0114757,1.80208121,1.692490403
925,C,3,H,3,89,90,466.5643972,1.406610191,0.541526316,148.8157861,0.796773135,0.684860913
925,C,3,H,3,107,108,495.0874225,1.430035478,0.546465116,146.1177423,0.80770853,0.682607449
925,C,3,H,3,117,118,452.4695736,1.351923784,0.551116279,143.1983068,1.814295038,1.705675724
925,C,3,H,3,119,120,521.9607115,1.424580784,0.552046512,155.4106183,0.80834287,0.688087468
925,C,3,H,3,126,127,496.0853308,1.407881277,0.555302326,129.3430063,0.790170866,0.687018002
925,C,3,H,3,134,135,482.095255,1.424363147,0.559023256,137.8130387,0.799191803,0.684588364
925,C,3,H,3,144,145,501.0507592,1.419398071,0.563674419,138.1534124,0.79135163,0.709443823
925,C,3,H,3,146,147,489.1438147,1.434042204,0.564604651,142.9003289,0.789784094,0.715120163
925,C,3,H,4,2,3,528.0154481,1.451843228,0.567125,156.9434349,0.804650828,0.690176971
925,C,3,H,4,9,10,525.3827,1.436796204,0.56975,140.5052747,0.793647873,0.676406379
925,C,3,H,4,17,18,527.1610397,1.443911446,0.57275,147.8153474,0.801034051,0.666841314
925,C,3,H,4,32,33,471.0279072,1.405988433,0.578375,139.2583648,0.778998184,0.675259923
925,C,3,H,4,34,35,482.1391481,1.415881835,0.579125,144.2111464,0.773247787,0.674799757
925,C,3,H,4,46,47,513.4456169,1.408348355,0.583625,160.6208003,0.814467181,0.696382247
925,C,3,H,4,54,55,503.1156021,1.427533236,0.586625,159.8410337,0.821668255,0.698584669
925,C,3,H,4,56,57,534.2617448,1.384839863,0.587375,151.0972182,0.804847327,0.685453749
925,C,3,H,4,71,72,522.5669233,1.424945367,0.592583333,138.7056983,0.809712354,0.676897404
925,C,3,H,4,82,83,561.3248991,1.427729351,0.596135417,150.8062194,0.787035116,0.671444752
925,C,3,H,4,107,108,490.7213171,1.407317633,0.604208333,140.3989723,0.765641596,0.673996337
925,C,3,H,4,122,125,508.4981625,1.452884817,0.609052083,128.1085681,0.79194073,0.66870278
925,C,3,H,5,6,7,545.6032241,1.399452202,0.62003125,159.7900164,0.810243985,0.68603238
925,C,3,H,5,13,15,546.0588055,1.411343443,0.622714286,141.8372724,0.779994028,0.666647464
925,C,3,H,5,16,17,549.8940812,1.407611975,0.624,157.6571373,0.817126644,0.679110963
925,C,3,H,5,24,25,518.4480854,1.395735039,0.627428571,158.9412455,0.804882421,0.688236841
925,C,3,H,5,26,27,454.0940957,1.398956851,0.628285714,135.6339564,0.764414198,0.676147081
925,C,3,H,5,35,36,532.2183021,1.402051755,0.632142857,154.5344267,0.807224492,0.684017386
925,C,3,H,5,37,38,510.5898942,1.409491054,0.633,145.1522073,0.791901885,0.675257008
925,C,3,H,5,107,108,537.5731886,1.37595316,0.655580645,129.0397847,1.536364008,1.420659665
925,C,3,H,6,7,8,559.4060373,1.446334589,0.671709677,143.7582105,0.797361793,0.66566194
925,C,4,H,3,106,108,556.8483182,1.426267763,0.931648649,151.1416571,0.801569869,0.694142414
925,C,4,H,4,4,5,475.524704,1.422469071,0.945918919,140.0515108,0.791235585,0.710152064
925,C,4,H,4,34,35,522.0485222,1.413010158,0.954837838,154.1032734,0.812522646,0.687338333
